state,group,rurality,year,half_year,suppression_used,total_prescriptions,chipMedicaidEnroll
al,0,3,2011,1,FALSE,20850,913436
al,0,3,2011,1,TRUE,0,913436
al,0,3,2011,2,FALSE,18140,923365
al,0,3,2011,2,TRUE,0,923365
al,0,3,2012,1,FALSE,20366,922415
al,0,3,2012,1,TRUE,0,922415
al,0,3,2012,2,FALSE,21104,915462
al,0,3,2012,2,TRUE,0,915462
al,0,3,2013,1,FALSE,25912,931684
al,0,3,2013,1,TRUE,0,931684
al,0,3,2013,2,FALSE,24271,940931
al,0,3,2013,2,TRUE,0,940931
al,0,3,2014,1,FALSE,25034,836428
al,0,3,2014,1,TRUE,0,836428
al,0,3,2014,2,FALSE,27894,876485
al,0,3,2014,2,TRUE,0,876485
al,0,3,2015,1,FALSE,36120,878932
al,0,3,2015,1,TRUE,0,878932
al,0,3,2015,2,FALSE,33408,888024
al,0,3,2015,2,TRUE,0,888024
al,0,3,2016,1,FALSE,37798,896723
al,0,3,2016,1,TRUE,0,896723
al,0,3,2016,2,FALSE,36424,892753
al,0,3,2016,2,TRUE,0,892753
ar,1,3,2011,1,FALSE,4860,609272
ar,1,3,2011,1,TRUE,0,609272
ar,1,3,2011,2,FALSE,4971,615023
ar,1,3,2011,2,TRUE,0,615023
ar,1,3,2012,1,FALSE,5058,616321
ar,1,3,2012,1,TRUE,0,616321
ar,1,3,2012,2,FALSE,4826,625868
ar,1,3,2012,2,TRUE,0,625868
ar,1,3,2013,1,FALSE,4847,624627
ar,1,3,2013,1,TRUE,0,624627
ar,1,3,2013,2,FALSE,4761,647073
ar,1,3,2013,2,TRUE,0,647073
ar,1,3,2014,1,FALSE,5212,772337
ar,1,3,2014,1,TRUE,0,772337
ar,1,3,2014,2,FALSE,7223,824682
ar,1,3,2014,2,TRUE,0,824682
ar,1,3,2015,1,FALSE,8934,820769
ar,1,3,2015,1,TRUE,0,820769
ar,1,3,2015,2,FALSE,8745,839277
ar,1,3,2015,2,TRUE,0,839277
ar,1,3,2016,1,FALSE,8570,857359
ar,1,3,2016,1,TRUE,0,857359
ar,1,3,2016,2,FALSE,8362,948181
ar,1,3,2016,2,TRUE,0,948181
az,1,1,2011,1,FALSE,18351,1388569
az,1,1,2011,1,TRUE,0,1388569
az,1,1,2011,2,FALSE,19376,1364236
az,1,1,2011,2,TRUE,0,1364236
az,1,1,2012,1,FALSE,15727,1309638
az,1,1,2012,1,TRUE,0,1309638
az,1,1,2012,2,FALSE,11415,1298694
az,1,1,2012,2,TRUE,0,1298694
az,1,1,2013,1,FALSE,15806,1307111
az,1,1,2013,1,TRUE,0,1307111
az,1,1,2013,2,FALSE,18935,1292061
az,1,1,2013,2,TRUE,0,1292061
az,1,1,2014,1,FALSE,16318,1427080
az,1,1,2014,1,TRUE,0,1427080
az,1,1,2014,2,FALSE,26196,1496616
az,1,1,2014,2,TRUE,0,1496616
az,1,1,2015,1,FALSE,27837,1589487
az,1,1,2015,1,TRUE,0,1589487
az,1,1,2015,2,FALSE,28866,1681587
az,1,1,2015,2,TRUE,0,1681587
az,1,1,2016,1,FALSE,36985,1685493
az,1,1,2016,1,TRUE,0,1685493
az,1,1,2016,2,FALSE,28677,1739041
az,1,1,2016,2,TRUE,0,1739041
de,1,1,2011,1,FALSE,1976,205037
de,1,1,2011,1,TRUE,0,205037
de,1,1,2011,2,FALSE,2148,211856
de,1,1,2011,2,TRUE,0,211856
de,1,1,2012,1,FALSE,2277,214914
de,1,1,2012,1,TRUE,0,214914
de,1,1,2012,2,FALSE,2390,218208
de,1,1,2012,2,TRUE,0,218208
de,1,1,2013,1,FALSE,2319,217708
de,1,1,2013,1,TRUE,0,217708
de,1,1,2013,2,FALSE,2659,217385
