year,state,halfyear,suppression,totalRX
2011,AK,1,T,0
2011,AK,1,F,1445
2011,AK,2,T,0
2011,AK,2,F,1355
2011,AL,1,F,11634
2011,AL,1,T,0
2011,AL,2,F,10295
2011,AL,2,T,0
2011,AR,1,T,0
2011,AR,1,F,2891
2011,AR,2,F,2962
2011,AR,2,T,0
2011,AZ,1,F,9657
2011,AZ,1,T,0
2011,AZ,2,T,0
2011,AZ,2,F,11597
2011,CA,1,F,43131
2011,CA,1,T,0
2011,CA,2,F,38871
2011,CA,2,T,0
2011,CO,1,F,5079
2011,CO,1,T,0
2011,CO,2,F,5309
2011,CO,2,T,0
2011,CT,1,F,9764
2011,CT,1,T,0
2011,CT,2,F,9037
2011,CT,2,T,0
2011,DC,1,F,1311
2011,DC,1,T,0
2011,DC,2,F,2589
2011,DC,2,T,0
2011,DE,1,F,1367
2011,DE,1,T,0
2011,DE,2,F,1356
2011,DE,2,T,0
2011,FL,1,F,29056
2011,FL,1,T,0
2011,FL,2,F,27746
2011,FL,2,T,0
2011,GA,1,F,12954
2011,GA,1,T,0
2011,GA,2,T,0
2011,GA,2,F,15543
2011,HI,1,T,0
2011,HI,1,F,2201
2011,HI,2,T,0
2011,HI,2,F,2225
2011,IA,1,T,0
2011,IA,1,F,9410
2011,IA,2,F,8490
2011,IA,2,T,0
2011,ID,1,F,2836
2011,ID,1,T,0
2011,ID,2,F,3266
2011,ID,2,T,0
2011,IL,1,F,18816
2011,IL,1,T,0
2011,IL,2,T,0
2011,IL,2,F,8030
2011,IN,1,F,14216
2011,IN,1,T,0
2011,IN,2,F,12803
2011,IN,2,T,0
2011,KS,1,F,5362
2011,KS,1,T,0
2011,KS,2,T,0
2011,KS,2,F,5431
2011,KY,1,F,21247
2011,KY,1,T,0
2011,KY,2,F,22152
2011,KY,2,T,0
2011,LA,1,F,8462
2011,LA,1,T,0
2011,LA,2,F,8758
2011,LA,2,T,0
2011,MA,1,F,14126
2011,MA,1,T,0
2011,MA,2,F,13517
2011,MA,2,T,0
2011,MD,1,F,11201
2011,MD,1,T,0
2011,MD,2,F,11708
2011,MD,2,T,0
2011,ME,1,F,6917
2011,ME,1,T,0
2011,ME,2,F,7285
2011,ME,2,T,0
2011,MI,1,F,13887
2011,MI,1,T,0
2011,MI,2,F,14503
2011,MI,2,T,0
2011,MN,1,T,0
2011,MN,1,F,10775
2011,MN,2,F,14042
2011,MN,2,T,0
2011,MO,1,F,24065
2011,MO,1,T,0
2011,MO,2,F,24626
2011,MO,2,T,0
2011,MS,1,F,1450
2011,MS,1,T,0
2011,MS,2,F,3624
2011,MS,2,T,0
2011,MT,1,T,0
2011,MT,1,F,2635
2011,MT,2,T,0
2011,MT,2,F,2598
2011,NC,1,F,16390
2011,NC,1,T,0
2011,NC,2,F,15306
2011,NC,2,T,0
2011,NE,1,T,0
2011,NE,1,F,2730
2011,NE,2,T,0
2011,NE,2,F,3187
2011,NH,1,T,0
2011,NH,1,F,3600
2011,NH,2,T,0
2011,NH,2,F,3440
2011,NJ,1,F,7801
2011,NJ,1,T,0
2011,NJ,2,F,7083
2011,NJ,2,T,0
2011,NM,1,F,2608
2011,NM,1,T,0
2011,NM,2,T,0
2011,NM,2,F,1883
2011,NV,1,T,0
2011,NV,1,F,2282
2011,NV,2,F,2304
2011,NV,2,T,0
2011,NY,1,F,37179
2011,NY,1,T,0
2011,NY,2,F,38050
2011,NY,2,T,0
2011,OH,1,F,30491
2011,OH,1,T,0
2011,OH,2,F,22273
2011,OH,2,T,0
2011,OK,1,F,7302
2011,OK,1,T,0
2011,OK,2,F,7436
2011,OK,2,T,0
2011,OR,1,F,10558
2011,OR,1,T,0
2011,OR,2,F,10020
2011,OR,2,T,0
2011,PA,1,F,26824
2011,PA,1,T,0
2011,PA,2,T,0
2011,PA,2,F,23073
2011,RI,1,T,0
2011,RI,1,F,505
2011,RI,2,T,0
2011,RI,2,F,446
2011,SC,1,T,0
2011,SC,1,F,6293
2011,SC,2,T,0
2011,SC,2,F,6485
2011,SD,1,T,0
2011,SD,1,F,756
2011,SD,2,T,0
2011,SD,2,F,840
2011,TN,1,F,13423
2011,TN,1,T,0
2011,TN,2,F,13692
2011,TN,2,T,0
2011,TX,1,F,23692
2011,TX,1,T,0
2011,TX,2,F,17778
2011,TX,2,T,0
2011,UT,1,T,0
2011,UT,1,F,2205
2011,UT,2,T,0
2011,UT,2,F,1672
2011,VA,1,F,13457
2011,VA,1,T,0
2011,VA,2,F,14591
2011,VA,2,T,0
2011,VT,1,T,0
2011,VT,1,F,1975
2011,VT,2,F,2034
2011,VT,2,T,0
2011,WA,1,F,9789
2011,WA,1,T,0
2011,WA,2,F,9800
2011,WA,2,T,0
2011,WI,1,F,17700
2011,WI,1,T,0
2011,WI,2,F,19471
2011,WI,2,T,0
2011,WV,1,F,5972
2011,WV,1,T,0
2011,WV,2,F,5853
2011,WV,2,T,0
2011,WY,1,T,0
2011,WY,1,F,1010
2011,WY,2,T,0
2011,WY,2,F,1027
2012,AK,1,T,0
2012,AK,1,F,1638
2012,AK,2,T,0
2012,AK,2,F,1671
2012,AL,1,F,11197
2012,AL,1,T,0
2012,AL,2,F,11919
2012,AL,2,T,0
2012,AR,1,T,0
2012,AR,1,F,3111
2012,AR,2,T,0
2012,AR,2,F,2946
2012,AZ,1,T,0
2012,AZ,1,F,10485
2012,AZ,2,F,6974
2012,AZ,2,T,0
2012,CA,1,F,40315
2012,CA,1,T,0
2012,CA,2,T,0
2012,CA,2,F,40664
2012,CO,1,F,5835
2012,CO,1,T,0
