year,gennme,state,halfyear,suppression,totalRX
2011,Albuterol Sulfate/Ipratropium Bromide,AK,1,F,1445
2011,Albuterol Sulfate/Ipratropium Bromide,AK,1,T,0
2011,Arformoterol Tartrate,AK,1,T,0
2011,Formoterol Fumarate,AK,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,AK,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,AK,2,F,1342
2011,Arformoterol Tartrate,AK,2,T,0
2011,Formoterol Fumarate,AK,2,T,0
2011,Roflumilast,AK,2,T,0
2011,Roflumilast,AK,2,F,13
2011,Albuterol Sulfate/Ipratropium Bromide,AL,1,F,10326
2011,Albuterol Sulfate/Ipratropium Bromide,AL,1,T,0
2011,Arformoterol Tartrate,AL,1,T,0
2011,Arformoterol Tartrate,AL,1,F,261
2011,Formoterol Fumarate,AL,1,F,1047
2011,Formoterol Fumarate,AL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,AL,2,F,8734
2011,Albuterol Sulfate/Ipratropium Bromide,AL,2,T,0
2011,Arformoterol Tartrate,AL,2,F,287
2011,Arformoterol Tartrate,AL,2,T,0
2011,Formoterol Fumarate,AL,2,F,947
2011,Formoterol Fumarate,AL,2,T,0
2011,Roflumilast,AL,2,F,327
2011,Albuterol Sulfate/Ipratropium Bromide,AR,1,F,2891
2011,Albuterol Sulfate/Ipratropium Bromide,AR,1,T,0
2011,Arformoterol Tartrate,AR,1,T,0
2011,Formoterol Fumarate,AR,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,AR,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,AR,2,F,2922
2011,Arformoterol Tartrate,AR,2,T,0
2011,Arformoterol Tartrate,AR,2,F,13
2011,Formoterol Fumarate,AR,2,F,27
2011,Formoterol Fumarate,AR,2,T,0
2011,Roflumilast,AR,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,AZ,1,F,9188
2011,Albuterol Sulfate/Ipratropium Bromide,AZ,1,T,0
