year,gennme,prodnme,state,halfyear,suppression,totalRX
2011,Arformoterol Tartrate,BROVANA,AK,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AK,1,F,1056
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AK,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,AK,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,1,F,389
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,AK,1,T,0
2011,Arformoterol Tartrate,BROVANA,AK,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AK,2,F,1004
2011,Roflumilast,DALIRESP,AK,2,T,0
2011,Roflumilast,DALIRESP,AK,2,F,13
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AK,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AK,2,F,14
2011,Formoterol Fumarate,FORADIL AEROLIZER,AK,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,2,F,324
2011,Formoterol Fumarate,PERFOROMIST,AK,2,T,0
2011,Arformoterol Tartrate,BROVANA,AL,1,T,0
2011,Arformoterol Tartrate,BROVANA,AL,1,F,261
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AL,1,F,3868
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AL,1,F,13
2011,Formoterol Fumarate,FORADIL AEROLIZER,AL,1,F,955
2011,Formoterol Fumarate,FORADIL AEROLIZER,AL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,1,F,6445
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,AL,1,F,92
2011,Arformoterol Tartrate,BROVANA,AL,2,F,287
2011,Arformoterol Tartrate,BROVANA,AL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AL,2,F,3663
2011,Roflumilast,DALIRESP,AL,2,F,327
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AL,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,AL,2,F,887
2011,Formoterol Fumarate,FORADIL AEROLIZER,AL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,2,F,5071
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,AL,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,AL,2,F,60
2011,Arformoterol Tartrate,BROVANA,AR,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AR,1,F,2064
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AR,1,T,0
