state,group,year,halfyear,chipMedicaidEnroll,suppression,totalRX
AK,0,2011,1,118117,T,0
AK,0,2011,1,118117,F,1445
AK,0,2011,2,119175,T,0
AK,0,2011,2,119175,F,1355
AK,0,2012,1,120240,T,0
AK,0,2012,1,120240,F,1638
AK,0,2012,2,119723,T,0
AK,0,2012,2,119723,F,1671
AK,0,2013,1,120388,T,0
AK,0,2013,1,120388,F,1821
AK,0,2013,2,117299,T,0
AK,0,2013,2,117299,F,1445
AK,0,2014,1,125558,T,0
AK,0,2014,1,125558,F,1449
AK,0,2014,2,127888,T,0
AK,0,2014,2,127888,F,1509
AK,0,2015,1,126985,T,0
AK,0,2015,1,126985,F,1595
AK,0,2015,2,137865,T,0
AK,0,2015,2,137865,F,1636
AK,0,2016,1,160450,T,0
AK,0,2016,1,160450,F,1987
AK,0,2016,2,176799,T,0
AK,0,2016,2,176799,F,2295
AL,0,2011,1,913436,F,11634
AL,0,2011,1,913436,T,0
AL,0,2011,2,923365,F,10295
AL,0,2011,2,923365,T,0
AL,0,2012,1,922415,F,11197
AL,0,2012,1,922415,T,0
AL,0,2012,2,915462,F,11919
AL,0,2012,2,915462,T,0
AL,0,2013,1,931684,T,0
AL,0,2013,1,931684,F,14425
AL,0,2013,2,940931,T,0
AL,0,2013,2,940931,F,12555
AL,0,2014,1,836428,T,0
AL,0,2014,1,836428,F,12942
AL,0,2014,2,876485,T,0
AL,0,2014,2,876485,F,10380
AL,0,2015,1,878932,T,0
AL,0,2015,1,878932,F,14348
AL,0,2015,2,888024,F,12521
AL,0,2015,2,888024,T,0
AL,0,2016,1,896723,F,13591
AL,0,2016,1,896723,T,0
AL,0,2016,2,892753,T,0
AL,0,2016,2,892753,F,12329
AR,1,2011,1,609272,T,0
AR,1,2011,1,609272,F,2891
AR,1,2011,2,615023,F,2962
AR,1,2011,2,615023,T,0
AR,1,2012,1,616321,T,0
AR,1,2012,1,616321,F,3111
AR,1,2012,2,625868,T,0
AR,1,2012,2,625868,F,2946
AR,1,2013,1,624627,T,0
AR,1,2013,1,624627,F,2931
AR,1,2013,2,647073,T,0
