year,gennme,state,halfyear,totalRX
2011,Albuterol Sulfate/Ipratropium Bromide,AK,1,1565
2011,Arformoterol Tartrate,AK,1,30
2011,Formoterol Fumarate,AK,1,30
2011,Albuterol Sulfate/Ipratropium Bromide,AK,2,1462
2011,Arformoterol Tartrate,AK,2,40
2011,Formoterol Fumarate,AK,2,40
2011,Roflumilast,AK,2,23
2011,Albuterol Sulfate/Ipratropium Bromide,AL,1,10396
2011,Arformoterol Tartrate,AL,1,281
2011,Formoterol Fumarate,AL,1,1067
2011,Albuterol Sulfate/Ipratropium Bromide,AL,2,8824
2011,Arformoterol Tartrate,AL,2,297
2011,Formoterol Fumarate,AL,2,977
2011,Roflumilast,AL,2,327
2011,Albuterol Sulfate/Ipratropium Bromide,AR,1,3001
2011,Arformoterol Tartrate,AR,1,30
2011,Formoterol Fumarate,AR,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,AR,2,3042
2011,Arformoterol Tartrate,AR,2,43
2011,Formoterol Fumarate,AR,2,47
2011,Roflumilast,AR,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,AZ,1,9448
2011,Arformoterol Tartrate,AZ,1,89
2011,Formoterol Fumarate,AZ,1,500
2011,Albuterol Sulfate/Ipratropium Bromide,AZ,2,11482
2011,Arformoterol Tartrate,AZ,2,119
2011,Formoterol Fumarate,AZ,2,326
2011,Roflumilast,AZ,2,30
2011,Albuterol Sulfate/Ipratropium Bromide,CA,1,42549
2011,Arformoterol Tartrate,CA,1,114
2011,Formoterol Fumarate,CA,1,628
2011,Roflumilast,CA,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,CA,2,38320
2011,Arformoterol Tartrate,CA,2,126
2011,Formoterol Fumarate,CA,2,556
2011,Roflumilast,CA,2,149
2011,Albuterol Sulfate/Ipratropium Bromide,CO,1,5043
2011,Arformoterol Tartrate,CO,1,40
2011,Formoterol Fumarate,CO,1,126
2011,Roflumilast,CO,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,CO,2,5271
2011,Arformoterol Tartrate,CO,2,43
2011,Formoterol Fumarate,CO,2,98
2011,Roflumilast,CO,2,37
2011,Albuterol Sulfate/Ipratropium Bromide,CT,1,9176
2011,Arformoterol Tartrate,CT,1,328
2011,Formoterol Fumarate,CT,1,290
2011,Albuterol Sulfate/Ipratropium Bromide,CT,2,8382
2011,Arformoterol Tartrate,CT,2,287
2011,Formoterol Fumarate,CT,2,298
2011,Roflumilast,CT,2,90
2011,Albuterol Sulfate/Ipratropium Bromide,DC,1,1238
2011,Arformoterol Tartrate,DC,1,30
2011,Formoterol Fumarate,DC,1,163
2011,Albuterol Sulfate/Ipratropium Bromide,DC,2,2331
2011,Arformoterol Tartrate,DC,2,20
2011,Formoterol Fumarate,DC,2,329
2011,Roflumilast,DC,2,19
2011,Albuterol Sulfate/Ipratropium Bromide,DE,1,1468
2011,Arformoterol Tartrate,DE,1,20
2011,Formoterol Fumarate,DE,1,69
2011,Albuterol Sulfate/Ipratropium Bromide,DE,2,1381
2011,Arformoterol Tartrate,DE,2,20
2011,Formoterol Fumarate,DE,2,71
2011,Roflumilast,DE,2,14
2011,Albuterol Sulfate/Ipratropium Bromide,FL,1,28469
2011,Arformoterol Tartrate,FL,1,261
2011,Formoterol Fumarate,FL,1,476
2011,Albuterol Sulfate/Ipratropium Bromide,FL,2,27153
2011,Arformoterol Tartrate,FL,2,152
2011,Formoterol Fumarate,FL,2,391
2011,Roflumilast,FL,2,270
2011,Albuterol Sulfate/Ipratropium Bromide,GA,1,12803
2011,Arformoterol Tartrate,GA,1,40
2011,Formoterol Fumarate,GA,1,271
2011,Albuterol Sulfate/Ipratropium Bromide,GA,2,15384
2011,Arformoterol Tartrate,GA,2,52
2011,Formoterol Fumarate,GA,2,329
2011,Roflumilast,GA,2,38
2011,Albuterol Sulfate/Ipratropium Bromide,HI,1,2391
2011,Arformoterol Tartrate,HI,1,40
2011,Formoterol Fumarate,HI,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,HI,2,2347
2011,Arformoterol Tartrate,HI,2,40
2011,Formoterol Fumarate,HI,2,30
2011,Roflumilast,HI,2,38
2011,Albuterol Sulfate/Ipratropium Bromide,IA,1,8788
2011,Arformoterol Tartrate,IA,1,565
2011,Formoterol Fumarate,IA,1,107
2011,Albuterol Sulfate/Ipratropium Bromide,IA,2,7950
2011,Arformoterol Tartrate,IA,2,432
2011,Formoterol Fumarate,IA,2,126
2011,Roflumilast,IA,2,32
2011,Albuterol Sulfate/Ipratropium Bromide,ID,1,2787
2011,Arformoterol Tartrate,ID,1,45
2011,Formoterol Fumarate,ID,1,154
2011,Albuterol Sulfate/Ipratropium Bromide,ID,2,3027
2011,Arformoterol Tartrate,ID,2,120
2011,Formoterol Fumarate,ID,2,183
2011,Roflumilast,ID,2,26
2011,Albuterol Sulfate/Ipratropium Bromide,IL,1,18216
2011,Arformoterol Tartrate,IL,1,320
2011,Formoterol Fumarate,IL,1,390
2011,Albuterol Sulfate/Ipratropium Bromide,IL,2,7844
2011,Arformoterol Tartrate,IL,2,173
2011,Formoterol Fumarate,IL,2,123
2011,Roflumilast,IL,2,10
2011,Albuterol Sulfate/Ipratropium Bromide,IN,1,13202
2011,Arformoterol Tartrate,IN,1,476
2011,Formoterol Fumarate,IN,1,568
2011,Roflumilast,IN,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,IN,2,11558
2011,Arformoterol Tartrate,IN,2,418
2011,Formoterol Fumarate,IN,2,616
2011,Roflumilast,IN,2,291
2011,Albuterol Sulfate/Ipratropium Bromide,KS,1,4954
2011,Arformoterol Tartrate,KS,1,418
2011,Formoterol Fumarate,KS,1,220
2011,Albuterol Sulfate/Ipratropium Bromide,KS,2,4874
2011,Arformoterol Tartrate,KS,2,528
2011,Formoterol Fumarate,KS,2,249
2011,Roflumilast,KS,2,80
2011,Albuterol Sulfate/Ipratropium Bromide,KY,1,21133
2011,Arformoterol Tartrate,KY,1,146
2011,Formoterol Fumarate,KY,1,298
2011,Albuterol Sulfate/Ipratropium Bromide,KY,2,21741
2011,Arformoterol Tartrate,KY,2,150
2011,Formoterol Fumarate,KY,2,270
2011,Roflumilast,KY,2,251
2011,Albuterol Sulfate/Ipratropium Bromide,LA,1,8186
2011,Arformoterol Tartrate,LA,1,188
2011,Formoterol Fumarate,LA,1,208
2011,Roflumilast,LA,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,LA,2,8036
2011,Arformoterol Tartrate,LA,2,178
2011,Formoterol Fumarate,LA,2,172
2011,Roflumilast,LA,2,462
2011,Albuterol Sulfate/Ipratropium Bromide,MA,1,13868
2011,Arformoterol Tartrate,MA,1,126
2011,Formoterol Fumarate,MA,1,312
2011,Albuterol Sulfate/Ipratropium Bromide,MA,2,13094
2011,Arformoterol Tartrate,MA,2,146
2011,Formoterol Fumarate,MA,2,356
2011,Roflumilast,MA,2,41
2011,Albuterol Sulfate/Ipratropium Bromide,MD,1,11150
2011,Arformoterol Tartrate,MD,1,70
2011,Formoterol Fumarate,MD,1,281
2011,Albuterol Sulfate/Ipratropium Bromide,MD,2,11682
2011,Arformoterol Tartrate,MD,2,58
2011,Formoterol Fumarate,MD,2,298
2011,Roflumilast,MD,2,50
2011,Albuterol Sulfate/Ipratropium Bromide,ME,1,6792
2011,Arformoterol Tartrate,ME,1,63
2011,Formoterol Fumarate,ME,1,162
2011,Albuterol Sulfate/Ipratropium Bromide,ME,2,7127
2011,Arformoterol Tartrate,ME,2,74
2011,Formoterol Fumarate,ME,2,132
2011,Roflumilast,ME,2,32
2011,Albuterol Sulfate/Ipratropium Bromide,MI,1,13555
2011,Arformoterol Tartrate,MI,1,249
2011,Formoterol Fumarate,MI,1,373
