year,gennme,prodnme,state,halfyear,totalRX
2011,Arformoterol Tartrate,BROVANA,AK,1,30
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AK,1,1056
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AK,1,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,AK,1,20
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,1,489
2011,Formoterol Fumarate,PERFOROMIST,AK,1,10
2011,Arformoterol Tartrate,BROVANA,AK,2,40
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AK,2,1004
2011,Roflumilast,DALIRESP,AK,2,23
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AK,2,34
2011,Formoterol Fumarate,FORADIL AEROLIZER,AK,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,2,424
2011,Formoterol Fumarate,PERFOROMIST,AK,2,20
2011,Arformoterol Tartrate,BROVANA,AL,1,281
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AL,1,3868
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AL,1,43
2011,Formoterol Fumarate,FORADIL AEROLIZER,AL,1,975
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,1,6485
2011,Formoterol Fumarate,PERFOROMIST,AL,1,92
2011,Arformoterol Tartrate,BROVANA,AL,2,297
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AL,2,3663
2011,Roflumilast,DALIRESP,AL,2,327
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AL,2,10
2011,Formoterol Fumarate,FORADIL AEROLIZER,AL,2,907
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,2,5151
2011,Formoterol Fumarate,PERFOROMIST,AL,2,70
2011,Arformoterol Tartrate,BROVANA,AR,1,30
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AR,1,2064
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AR,1,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,AR,1,20
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,1,917
2011,Formoterol Fumarate,PERFOROMIST,AR,1,20
2011,Arformoterol Tartrate,BROVANA,AR,2,43
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AR,2,2013
2011,Roflumilast,DALIRESP,AR,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AR,2,10
2011,Formoterol Fumarate,FORADIL AEROLIZER,AR,2,27
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,2,1019
2011,Formoterol Fumarate,PERFOROMIST,AR,2,20
2011,Arformoterol Tartrate,BROVANA,AZ,1,89
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,1,5668
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AZ,1,60
2011,Formoterol Fumarate,FORADIL AEROLIZER,AZ,1,444
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,1,3720
2011,Formoterol Fumarate,PERFOROMIST,AZ,1,56
2011,Arformoterol Tartrate,BROVANA,AZ,2,119
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,2,6052
2011,Roflumilast,DALIRESP,AZ,2,30
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AZ,2,40
2011,Formoterol Fumarate,FORADIL AEROLIZER,AZ,2,296
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,2,5390
2011,Formoterol Fumarate,PERFOROMIST,AZ,2,30
2011,Arformoterol Tartrate,BROVANA,CA,1,114
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CA,1,29222
2011,Roflumilast,DALIRESP,CA,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,1,9610
2011,Formoterol Fumarate,FORADIL AEROLIZER,CA,1,534
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,1,3717
2011,Formoterol Fumarate,PERFOROMIST,CA,1,94
2011,Arformoterol Tartrate,BROVANA,CA,2,126
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CA,2,27418
2011,Roflumilast,DALIRESP,CA,2,149
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,2,6288
