state,group,year,halfyear,chipMedicaidEnroll,totalRX
AK,0,2011,1,118117,1625
AK,0,2011,2,119175,1565
AK,0,2012,1,120240,1778
AK,0,2012,2,119723,1851
AK,0,2013,1,120388,2021
AK,0,2013,2,117299,1715
AK,0,2014,1,125558,1679
AK,0,2014,2,127888,1699
AK,0,2015,1,126985,1865
AK,0,2015,2,137865,1946
AK,0,2016,1,160450,2327
AK,0,2016,2,176799,2575
AL,0,2011,1,913436,11744
AL,0,2011,2,923365,10425
AL,0,2012,1,922415,11327
AL,0,2012,2,915462,12039
AL,0,2013,1,931684,14615
AL,0,2013,2,940931,12765
AL,0,2014,1,836428,13172
AL,0,2014,2,876485,10530
AL,0,2015,1,878932,14558
AL,0,2015,2,888024,12751
AL,0,2016,1,896723,13841
AL,0,2016,2,892753,12509
AR,1,2011,1,609272,3071
AR,1,2011,2,615023,3152
AR,1,2012,1,616321,3251
AR,1,2012,2,625868,3146
AR,1,2013,1,624627,3181
AR,1,2013,2,647073,3010
AR,1,2014,1,772337,3274
AR,1,2014,2,824682,3419
AR,1,2015,1,820769,3466
AR,1,2015,2,839277,3400
AR,1,2016,1,857359,3437
AR,1,2016,2,948181,3113
AZ,1,2011,1,1388569,10037
AZ,1,2011,2,1364236,11957
AZ,1,2012,1,1309638,10775
AZ,1,2012,2,1298694,7124
AZ,1,2013,1,1307111,9271
AZ,1,2013,2,1292061,11669
AZ,1,2014,1,1427080,10000
AZ,1,2014,2,1496616,13890
AZ,1,2015,1,1589487,15021
AZ,1,2015,2,1681587,14666
AZ,1,2016,1,1685493,18069
AZ,1,2016,2,1739041,13141
CA,1,2011,1,8678927,43301
CA,1,2011,2,8771607,39151
CA,1,2012,1,8996976,40485
CA,1,2012,2,9276646,40894
CA,1,2013,1,9221339,42873
CA,1,2013,2,9661146,38523
CA,1,2014,1,10900000,46796
CA,1,2014,2,11919314,49504
CA,1,2015,1,12627234,60829
CA,1,2015,2,12166109,64218
CA,1,2016,1,12333253,67529
CA,1,2016,2,12405352,65548
CO,1,2011,1,652856,5219
CO,1,2011,2,692837,5449
CO,1,2012,1,733956,5945
CO,1,2012,2,756928,6228
